,iteration0,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27
Oral Cavity,0.73,0.73,0.73,0.73,0.73,0.74,0.73,0.74,0.73,0.73,0.74,0.74,0.73,0.73,0.73,0.72,0.73,0.73,0.74,0.73,0.73,0.74,0.74,0.74,0.74,0.74,0.74,0.75
PAROTIDS,0.57,0.57,0.58,0.57,0.58,0.58,0.56,0.51,0.43,0.42,0.47,0.44,0.46,0.36,0.4,0.4,0.41,0.38,0.46,0.43,0.44,0.44,0.49,0.48,0.48,0.47,0.46,0.51
PGTVnd6996,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.02,1.02,1.02
PGTVnx6996,1.01,1.01,1.02,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.01,1.01,1.01
PTV5096,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.0,1.01
Pituitary,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.93,0.93,0.9,0.9,0.91,0.86,0.86,0.86,0.85,0.85,0.85,0.85,0.83,0.83,0.84,0.83,0.83,0.83,0.83,0.82,0.82
Spinal Cord,0.73,0.73,0.72,0.73,0.74,0.77,0.77,0.79,0.82,0.82,0.82,0.83,0.81,0.85,0.86,0.86,0.86,0.86,0.82,0.81,0.81,0.78,0.8,0.8,0.76,0.77,0.75,0.75
Stem PRV,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.96,0.95,0.96,0.96,0.94,0.93,0.92,0.93,0.92,0.92,0.91,0.92,0.91,0.9,0.91,0.9,0.9,0.89,0.88,0.89
TMJ-L,0.96,0.96,0.95,0.95,0.95,0.94,0.96,0.94,0.93,0.92,0.92,0.9,0.88,0.89,0.88,0.88,0.87,0.88,0.88,0.85,0.85,0.87,0.86,0.85,0.86,0.85,0.85,0.86
TMJ-R,1.1,1.1,1.09,1.1,1.09,1.09,1.09,1.09,1.09,1.08,1.09,1.07,1.07,1.07,1.07,1.06,1.07,1.04,1.03,1.04,1.02,1.02,1.0,0.98,1.0,1.0,0.99,0.99
Thyroid,1.04,1.04,1.04,1.04,1.03,1.03,1.03,0.96,0.94,0.95,0.93,0.91,0.92,0.9,0.92,0.91,0.9,0.91,0.89,0.91,0.88,0.88,0.88,0.87,0.84,0.84,0.82,0.86
Trachea,0.61,0.61,0.61,0.61,0.6,0.6,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.58,0.59,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.55
