,iteration0,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27
PAROTIDS,"[['type=se', 35.66], ['type=se', 32.15], ['type=pa', 22.86], ['type=pa', 48.18]]","[['type=se', 35.66], ['type=se', 32.15], ['type=pa', 22.86], ['type=pa', 48.18]]","[['type=se', 35.9], ['type=se', 32.31], ['type=pa', 23.09], ['type=pa', 48.57]]","[['type=se', 35.72], ['type=se', 32.06], ['type=pa', 23.06], ['type=pa', 48.69]]","[['type=se', 35.79], ['type=se', 32.05], ['type=pa', 22.92], ['type=pa', 48.26]]","[['type=se', 35.74], ['type=se', 31.85], ['type=pa', 22.58], ['type=pa', 47.58]]","[['type=se', 35.88], ['type=se', 31.92], ['type=pa', 22.37], ['type=pa', 47.57]]","[['type=se', 34.89], ['type=se', 31.1], ['type=pa', 23.47], ['type=pa', 50.75]]","[['type=se', 33.72], ['type=se', 30.2], ['type=pa', 21.66], ['type=pa', 48.01]]","[['type=se', 33.41], ['type=se', 29.87], ['type=pa', 21.58], ['type=pa', 47.97]]","[['type=se', 34.46], ['type=se', 30.72], ['type=pa', 23.38], ['type=pa', 51.08]]","[['type=se', 34.65], ['type=se', 30.64], ['type=pa', 23.17], ['type=pa', 50.95]]","[['type=se', 34.43], ['type=se', 30.43], ['type=pa', 22.41], ['type=pa', 49.43]]","[['type=se', 32.97], ['type=se', 29.12], ['type=pa', 20.75], ['type=pa', 46.96]]","[['type=se', 33.76], ['type=se', 29.81], ['type=pa', 22.4], ['type=pa', 49.82]]","[['type=se', 33.94], ['type=se', 30.02], ['type=pa', 22.66], ['type=pa', 50.46]]","[['type=se', 34.07], ['type=se', 29.96], ['type=pa', 22.58], ['type=pa', 50.17]]","[['type=se', 32.2], ['type=se', 28.37], ['type=pa', 21.46], ['type=pa', 48.73]]","[['type=se', 32.44], ['type=se', 28.56], ['type=pa', 23.65], ['type=pa', 52.4]]","[['type=se', 32.38], ['type=se', 28.46], ['type=pa', 23.41], ['type=pa', 52.15]]","[['type=se', 33.08], ['type=se', 29.25], ['type=pa', 24.24], ['type=pa', 53.55]]","[['type=se', 32.9], ['type=se', 30.06], ['type=pa', 24.61], ['type=pa', 54.18]]","[['type=se', 34.25], ['type=se', 30.19], ['type=pa', 25.23], ['type=pa', 54.75]]","[['type=se', 34.27], ['type=se', 30.17], ['type=pa', 25.16], ['type=pa', 54.75]]","[['type=se', 34.4], ['type=se', 31.13], ['type=pa', 25.72], ['type=pa', 55.62]]","[['type=se', 34.43], ['type=se', 31.0], ['type=pa', 25.55], ['type=pa', 55.36]]","[['type=se', 34.44], ['type=se', 30.81], ['type=pa', 25.64], ['type=pa', 55.62]]","[['type=se', 34.57], ['type=se', 30.83], ['type=pa', 25.74], ['type=pa', 55.45]]"
PGTVnd6996,"[['type=qp', 71.0]]","[['type=qp', 71.0]]","[['type=qp', 71.09]]","[['type=qp', 71.01]]","[['type=qp', 71.08]]","[['type=qp', 70.98]]","[['type=qp', 71.0]]","[['type=qp', 71.3]]","[['type=qp', 71.1]]","[['type=qp', 71.05]]","[['type=qp', 71.13]]","[['type=qp', 70.99]]","[['type=qp', 70.91]]","[['type=qp', 70.76]]","[['type=qp', 70.79]]","[['type=qp', 70.76]]",,,,,,,,,,,,
PGTVnx6996,"[['type=qp', 70.74]]","[['type=qp', 70.74]]","[['type=qp', 70.74]]","[['type=qp', 70.74]]","[['type=qp', 70.71]]","[['type=qp', 70.7]]","[['type=qp', 70.77]]","[['type=qp', 70.86]]","[['type=qp', 70.71]]","[['type=qp', 70.63]]","[['type=qp', 70.72]]","[['type=qp', 70.62]]","[['type=qp', 70.59]]","[['type=qp', 70.3]]","[['type=qp', 70.3]]","[['type=qp', 70.27]]",,,,,,,,,,,,
PTV5096,"[['type=qp', 51.64], ['type=mxd', 68.61], ['type=mxd', 55.85]]","[['type=qp', 51.64], ['type=mxd', 68.61], ['type=mxd', 55.85]]","[['type=qp', 51.67], ['type=mxd', 68.66], ['type=mxd', 55.8]]","[['type=qp', 51.67], ['type=mxd', 68.65], ['type=mxd', 56.01]]","[['type=qp', 51.66], ['type=mxd', 69.05], ['type=mxd', 55.99]]","[['type=qp', 51.67], ['type=mxd', 69.28], ['type=mxd', 55.98]]","[['type=qp', 51.68], ['type=mxd', 70.07], ['type=mxd', 55.82]]","[['type=qp', 51.5], ['type=mxd', 69.21], ['type=mxd', 55.56]]","[['type=qp', 51.45], ['type=mxd', 69.57], ['type=mxd', 56.03]]","[['type=qp', 51.42], ['type=mxd', 69.67], ['type=mxd', 55.94]]","[['type=qp', 51.31], ['type=mxd', 69.48], ['type=mxd', 55.56]]","[['type=qp', 51.19], ['type=mxd', 69.95], ['type=mxd', 56.02]]","[['type=qp', 51.21], ['type=mxd', 69.58], ['type=mxd', 55.56]]","[['type=qp', 50.88], ['type=mxd', 68.86], ['type=mxd', 55.73]]","[['type=qp', 51.01], ['type=mxd', 69.78], ['type=mxd', 56.14]]","[['type=qp', 50.93], ['type=mxd', 69.74], ['type=mxd', 56.07]]",,,,,,,,,,,,
Pituitary,"[['type=mxd', 52.82]]","[['type=mxd', 52.82]]","[['type=mxd', 52.88]]","[['type=mxd', 52.9]]","[['type=mxd', 52.91]]","[['type=mxd', 52.86]]","[['type=mxd', 53.06]]","[['type=mxd', 52.1]]","[['type=mxd', 51.99]]","[['type=mxd', 50.46]]","[['type=mxd', 50.64]]","[['type=mxd', 50.88]]","[['type=mxd', 49.28]]","[['type=mxd', 48.83]]","[['type=mxd', 48.69]]","[['type=mxd', 48.59]]","[['type=mxd', 48.41]]","[['type=mxd', 48.5]]","[['type=mxd', 48.6]]","[['type=mxd', 47.48]]","[['type=mxd', 47.38]]","[['type=mxd', 48.17]]","[['type=mxd', 47.62]]","[['type=mxd', 46.97]]","[['type=mxd', 47.33]]","[['type=mxd', 46.81]]","[['type=mxd', 46.55]]","[['type=mxd', 47.01]]"
Spinal Cord,"[['type=mxd', 34.36]]","[['type=mxd', 34.36]]","[['type=mxd', 34.21]]","[['type=mxd', 33.14]]","[['type=mxd', 33.83]]","[['type=mxd', 34.27]]","[['type=mxd', 33.73]]","[['type=mxd', 33.05]]","[['type=mxd', 32.84]]","[['type=mxd', 33.58]]","[['type=mxd', 33.18]]","[['type=mxd', 33.52]]","[['type=mxd', 32.74]]","[['type=mxd', 34.58]]","[['type=mxd', 34.73]]","[['type=mxd', 34.92]]","[['type=mxd', 34.66]]","[['type=mxd', 34.82]]","[['type=mxd', 34.54]]","[['type=mxd', 32.87]]","[['type=mxd', 32.54]]","[['type=mxd', 32.42]]","[['type=mxd', 32.3]]","[['type=mxd', 32.11]]","[['type=mxd', 31.24]]","[['type=mxd', 30.64]]","[['type=mxd', 30.87]]","[['type=mxd', 31.35]]"
Stem PRV,"[['type=se', 40.06]]","[['type=se', 40.06]]","[['type=se', 39.9]]","[['type=se', 39.83]]","[['type=se', 40.0]]","[['type=se', 40.17]]","[['type=se', 39.98]]","[['type=se', 39.97]]","[['type=se', 40.04]]","[['type=se', 39.8]]","[['type=se', 39.74]]","[['type=se', 39.8]]","[['type=se', 39.04]]","[['type=se', 38.38]]","[['type=se', 38.46]]","[['type=se', 38.43]]","[['type=se', 38.34]]","[['type=se', 37.92]]","[['type=se', 37.76]]","[['type=se', 37.39]]","[['type=se', 37.31]]","[['type=se', 37.22]]","[['type=se', 36.88]]","[['type=se', 36.84]]","[['type=se', 36.9]]","[['type=se', 36.26]]","[['type=se', 36.07]]","[['type=se', 36.06]]"
TMJ-L,"[['type=mxd', 52.85]]","[['type=mxd', 52.85]]","[['type=mxd', 52.48]]","[['type=mxd', 52.6]]","[['type=mxd', 52.86]]","[['type=mxd', 51.95]]","[['type=mxd', 53.12]]","[['type=mxd', 52.06]]","[['type=mxd', 51.47]]","[['type=mxd', 51.09]]","[['type=mxd', 50.79]]","[['type=mxd', 49.62]]","[['type=mxd', 48.85]]","[['type=mxd', 49.04]]","[['type=mxd', 49.01]]","[['type=mxd', 48.84]]","[['type=mxd', 48.47]]","[['type=mxd', 48.63]]","[['type=mxd', 48.66]]","[['type=mxd', 47.19]]","[['type=mxd', 47.12]]","[['type=mxd', 48.35]]","[['type=mxd', 47.77]]","[['type=mxd', 47.07]]","[['type=mxd', 47.63]]","[['type=mxd', 47.23]]","[['type=mxd', 47.07]]","[['type=mxd', 47.87]]"
TMJ-R,"[['type=mxd', 55.34]]","[['type=mxd', 55.34]]","[['type=mxd', 55.38]]","[['type=mxd', 55.7]]","[['type=mxd', 55.19]]","[['type=mxd', 54.97]]","[['type=mxd', 55.62]]","[['type=mxd', 55.15]]","[['type=mxd', 55.46]]","[['type=mxd', 55.4]]","[['type=mxd', 55.44]]","[['type=mxd', 54.53]]","[['type=mxd', 54.47]]","[['type=mxd', 54.96]]","[['type=mxd', 55.17]]","[['type=mxd', 54.73]]","[['type=mxd', 55.01]]","[['type=mxd', 52.32]]","[['type=mxd', 51.65]]","[['type=mxd', 52.3]]","[['type=mxd', 51.29]]","[['type=mxd', 50.46]]","[['type=mxd', 49.61]]","[['type=mxd', 48.77]]","[['type=mxd', 49.55]]","[['type=mxd', 49.69]]","[['type=mxd', 49.53]]","[['type=mxd', 48.79]]"
Thyroid,"[['type=se', 37.26]]","[['type=se', 37.26]]","[['type=se', 37.21]]","[['type=se', 37.0]]","[['type=se', 36.73]]","[['type=se', 36.61]]","[['type=se', 37.46]]","[['type=se', 37.3]]","[['type=se', 37.28]]","[['type=se', 38.29]]","[['type=se', 37.53]]","[['type=se', 36.9]]","[['type=se', 38.32]]","[['type=se', 37.66]]","[['type=se', 38.36]]","[['type=se', 37.8]]","[['type=se', 38.05]]","[['type=se', 38.03]]","[['type=se', 37.9]]","[['type=se', 37.29]]","[['type=se', 37.11]]","[['type=se', 37.09]]","[['type=se', 36.99]]","[['type=se', 36.46]]","[['type=se', 36.33]]","[['type=se', 35.98]]","[['type=se', 35.63]]","[['type=se', 35.36]]"
Trachea,"[['type=se', 37.07]]","[['type=se', 37.07]]","[['type=se', 37.04]]","[['type=se', 36.85]]","[['type=se', 36.89]]","[['type=se', 36.96]]","[['type=se', 37.65]]","[['type=se', 36.89]]","[['type=se', 37.02]]","[['type=se', 37.05]]","[['type=se', 36.88]]","[['type=se', 36.68]]","[['type=se', 37.19]]","[['type=se', 36.64]]","[['type=se', 36.83]]","[['type=se', 36.57]]","[['type=se', 36.66]]","[['type=se', 36.58]]","[['type=se', 36.51]]","[['type=se', 36.02]]","[['type=se', 35.67]]","[['type=se', 35.73]]","[['type=se', 35.62]]","[['type=se', 35.16]]","[['type=se', 35.07]]","[['type=se', 34.79]]","[['type=se', 34.38]]","[['type=se', 34.37]]"
patient,"[['type=mxd', 76.78], ['type=mxd', 50.84], ['type=se', 31.17], ['type=se', 28.0], ['type=se', 24.37]]","[['type=mxd', 76.78], ['type=mxd', 50.84], ['type=se', 31.17], ['type=se', 28.0], ['type=se', 24.37]]","[['type=mxd', 76.55], ['type=mxd', 50.35], ['type=se', 30.6], ['type=se', 27.18], ['type=se', 22.74]]","[['type=mxd', 76.83], ['type=mxd', 50.55], ['type=se', 29.8], ['type=se', 26.33], ['type=se', 21.98]]","[['type=mxd', 77.01], ['type=mxd', 50.68], ['type=se', 29.02], ['type=se', 25.51], ['type=se', 21.31]]","[['type=mxd', 76.48], ['type=mxd', 50.39], ['type=se', 28.09], ['type=se', 24.74], ['type=se', 20.84]]","[['type=mxd', 75.96], ['type=mxd', 50.72], ['type=se', 27.88], ['type=se', 23.9], ['type=se', 19.85]]","[['type=mxd', 76.59], ['type=mxd', 51.04], ['type=se', 27.06], ['type=se', 23.8], ['type=se', 19.38]]","[['type=mxd', 76.93], ['type=mxd', 50.76], ['type=se', 26.8], ['type=se', 22.88], ['type=se', 18.33]]","[['type=mxd', 76.8], ['type=mxd', 50.2], ['type=se', 26.04], ['type=se', 22.89], ['type=se', 18.26]]","[['type=mxd', 76.94], ['type=mxd', 51.31], ['type=se', 25.97], ['type=se', 22.81], ['type=se', 18.25]]","[['type=mxd', 76.9], ['type=mxd', 50.64], ['type=se', 25.67], ['type=se', 21.85], ['type=se', 18.24]]","[['type=mxd', 76.68], ['type=mxd', 50.96], ['type=se', 24.75], ['type=se', 21.7], ['type=se', 17.18]]","[['type=mxd', 76.89], ['type=mxd', 51.01], ['type=se', 24.66], ['type=se', 21.65], ['type=se', 17.08]]","[['type=mxd', 76.91], ['type=mxd', 50.59], ['type=se', 24.59], ['type=se', 21.59], ['type=se', 17.08]]","[['type=mxd', 76.78], ['type=mxd', 50.99], ['type=se', 24.46], ['type=se', 21.44], ['type=se', 17.02]]",,,,,,,,,,,,
