,iteration0,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27
Optic Nerve L,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]"
Optic Nerve R,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]"
Oral Cavity,"[['type=se', 0.1]]","[['type=se', 0.1]]","[['type=se', 0.17]]","[['type=se', 0.17]]","[['type=se', 0.0]]","[['type=se', 0.05]]","[['type=se', 0.26]]","[['type=se', 0.48]]","[['type=se', 0.46]]","[['type=se', 0.47]]","[['type=se', 0.52]]","[['type=se', 0.52]]","[['type=se', 0.35]]","[['type=se', 0.62]]","[['type=se', 0.57]]","[['type=se', 0.48]]","[['type=se', 0.38]]","[['type=se', 0.65]]","[['type=se', 0.5]]","[['type=se', 0.5]]","[['type=se', 0.53]]","[['type=se', 0.47]]","[['type=se', 0.5]]","[['type=se', 0.53]]","[['type=se', 0.54]]","[['type=se', 0.56]]","[['type=se', 0.6]]","[['type=se', 0.45]]"
PAROTIDS,"[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.13], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.12], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.09], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.02], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.0], ['type=pa', 1.0]]","[['type=se', 0.0], ['type=se', 0.0], ['type=pa', 0.9], ['type=pa', 0.97]]","[['type=se', 0.68], ['type=se', 0.76], ['type=pa', 0.35], ['type=pa', 0.44]]","[['type=se', 0.58], ['type=se', 0.62], ['type=pa', 0.36], ['type=pa', 0.36]]","[['type=se', 0.47], ['type=se', 0.53], ['type=pa', 0.73], ['type=pa', 0.53]]","[['type=se', 0.59], ['type=se', 0.0], ['type=pa', 0.46], ['type=pa', 0.43]]","[['type=se', 0.6], ['type=se', 0.59], ['type=pa', 0.39], ['type=pa', 0.35]]","[['type=se', 0.47], ['type=se', 0.57], ['type=pa', 0.32], ['type=pa', 0.32]]","[['type=se', 0.46], ['type=se', 0.26], ['type=pa', 0.39], ['type=pa', 0.37]]","[['type=se', 0.57], ['type=se', 0.28], ['type=pa', 0.31], ['type=pa', 0.31]]","[['type=se', 0.64], ['type=se', 0.31], ['type=pa', 0.35], ['type=pa', 0.34]]","[['type=se', 0.59], ['type=se', 0.41], ['type=pa', 0.38], ['type=pa', 0.37]]"
PGTVnd6996,"[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]",,,,,,,,,,,,
PGTVnx6996,"[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]","[['type=qp', 0.0]]",,,,,,,,,,,,
PTV5096,"[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.0]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.0]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.0]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.0]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.0]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.0]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.26]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.0]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.0]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.52]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.14]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.1]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.0]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.0]]","[['type=qp', 0.0], ['type=mxd', 0.01], ['type=mxd', 0.07]]","[['type=qp', 0.0], ['type=mxd', 0.0], ['type=mxd', 0.57]]",,,,,,,,,,,,
Pituitary,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]"
Spinal Cord,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.09]]","[['type=mxd', 0.0]]"
Stem PRV,"[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.01]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.25]]","[['type=se', 0.07]]","[['type=se', 0.29]]","[['type=se', 0.41]]","[['type=se', 0.15]]","[['type=se', 0.26]]","[['type=se', 0.42]]","[['type=se', 0.09]]","[['type=se', 0.28]]","[['type=se', 0.43]]"
TMJ-L,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]"
TMJ-R,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.65]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.44]]","[['type=mxd', 0.0]]","[['type=mxd', 0.04]]","[['type=mxd', 0.03]]","[['type=mxd', 0.03]]","[['type=mxd', 0.02]]","[['type=mxd', 0.0]]","[['type=mxd', 0.05]]","[['type=mxd', 0.34]]","[['type=mxd', 0.0]]","[['type=mxd', 0.07]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.1]]","[['type=mxd', 0.0]]","[['type=mxd', 0.3]]","[['type=mxd', 0.51]]","[['type=mxd', 0.19]]","[['type=mxd', 0.38]]","[['type=mxd', 0.39]]","[['type=mxd', 1.0]]","[['type=mxd', 0.0]]"
Thyroid,"[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.03]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.07]]","[['type=se', 0.0]]","[['type=se', 0.21]]","[['type=se', 0.0]]","[['type=se', 0.07]]","[['type=se', 0.19]]","[['type=se', 0.14]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.23]]","[['type=se', 0.2]]","[['type=se', 0.0]]","[['type=se', 0.3]]","[['type=se', 0.05]]","[['type=se', 0.17]]","[['type=se', 0.15]]"
Trachea,"[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.03]]","[['type=se', 0.22]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.28]]","[['type=se', 0.23]]","[['type=se', 0.0]]","[['type=se', 0.33]]","[['type=se', 0.16]]","[['type=se', 0.2]]","[['type=se', 0.43]]"
patient,"[['type=mxd', 0.29], ['type=mxd', 0.0], ['type=se', 0.0], ['type=se', 0.0], ['type=se', 0.0]]","[['type=mxd', 0.29], ['type=mxd', 0.0], ['type=se', 0.0], ['type=se', 0.0], ['type=se', 0.0]]","[['type=mxd', 0.23], ['type=mxd', 0.0], ['type=se', 0.0], ['type=se', 0.0], ['type=se', 0.0]]","[['type=mxd', 0.15], ['type=mxd', 0.0], ['type=se', 0.24], ['type=se', 0.0], ['type=se', 0.0]]","[['type=mxd', 0.3], ['type=mxd', 0.0], ['type=se', 0.36], ['type=se', 0.0], ['type=se', 0.0]]","[['type=mxd', 0.14], ['type=mxd', 0.0], ['type=se', 0.58], ['type=se', 0.0], ['type=se', 0.0]]","[['type=mxd', 0.36], ['type=mxd', 0.0], ['type=se', 0.31], ['type=se', 0.69], ['type=se', 0.0]]","[['type=mxd', 0.1], ['type=mxd', 0.3], ['type=se', 0.61], ['type=se', 0.23], ['type=se', 0.35]]","[['type=mxd', 0.51], ['type=mxd', 0.0], ['type=se', 0.0], ['type=se', 0.84], ['type=se', 0.62]]","[['type=mxd', 0.47], ['type=mxd', 0.0], ['type=se', 0.83], ['type=se', 0.57], ['type=se', 0.59]]","[['type=mxd', 0.28], ['type=mxd', 0.0], ['type=se', 0.74], ['type=se', 0.43], ['type=se', 0.58]]","[['type=mxd', 0.47], ['type=mxd', 0.0], ['type=se', 0.11], ['type=se', 0.78], ['type=se', 0.2]]","[['type=mxd', 0.3], ['type=mxd', 0.0], ['type=se', 0.83], ['type=se', 0.66], ['type=se', 0.7]]","[['type=mxd', 0.06], ['type=mxd', 0.0], ['type=se', 0.88], ['type=se', 0.57], ['type=se', 0.77]]","[['type=mxd', 0.61], ['type=mxd', 0.0], ['type=se', 0.94], ['type=se', 0.54], ['type=se', 0.83]]","[['type=mxd', 0.23], ['type=mxd', 0.0], ['type=se', 0.85], ['type=se', 0.59], ['type=se', 0.76]]",,,,,,,,,,,,
