,iteration0,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27
Optic Nerve L,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]"
Optic Nerve R,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]"
Oral Cavity,"[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.01]]","[['type=se', 0.03]]","[['type=se', 0.17]]","[['type=se', 0.19]]","[['type=se', 0.23]]","[['type=se', 0.37]]","[['type=se', 0.55]]","[['type=se', 0.13]]","[['type=se', 1.02]]","[['type=se', 0.72]]","[['type=se', 0.42]]","[['type=se', 0.2]]","[['type=se', 0.7]]","[['type=se', 0.23]]","[['type=se', 0.26]]","[['type=se', 0.39]]","[['type=se', 0.21]]","[['type=se', 0.3]]","[['type=se', 0.45]]","[['type=se', 0.37]]","[['type=se', 0.64]]","[['type=se', 0.71]]","[['type=se', 0.16]]"
PAROTIDS,"[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.02], ['type=pa', 0.18]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.02], ['type=pa', 0.18]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.02], ['type=pa', 0.15]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.02], ['type=pa', 0.16]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.02], ['type=pa', 0.15]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.02], ['type=pa', 0.17]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.02], ['type=pa', 0.42]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.01], ['type=pa', 4.16]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.01], ['type=pa', 6.41]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.02], ['type=pa', 7.21]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.01], ['type=pa', 9.99]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.01], ['type=pa', 28.3]]","[['type=se', 0.02], ['type=se', 0.01], ['type=pa', 0.01], ['type=pa', 10.83]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.01], ['type=pa', 18.43]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.01], ['type=pa', 17.49]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.01], ['type=pa', 19.33]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 0.01], ['type=pa', 23.76]]","[['type=se', 0.01], ['type=se', 0.01], ['type=pa', 3.62], ['type=pa', 5.4]]","[['type=se', 0.6], ['type=se', 0.97], ['type=pa', 0.09], ['type=pa', 0.14]]","[['type=se', 0.41], ['type=se', 0.54], ['type=pa', 0.1], ['type=pa', 0.1]]","[['type=se', 0.27], ['type=se', 0.42], ['type=pa', 1.41], ['type=pa', 0.35]]","[['type=se', 0.47], ['type=se', 0.01], ['type=pa', 0.19], ['type=pa', 0.16]]","[['type=se', 0.59], ['type=se', 0.57], ['type=pa', 0.14], ['type=pa', 0.11]]","[['type=se', 0.3], ['type=se', 0.62], ['type=pa', 0.1], ['type=pa', 0.1]]","[['type=se', 0.22], ['type=se', 0.07], ['type=pa', 0.14], ['type=pa', 0.11]]","[['type=se', 0.73], ['type=se', 0.09], ['type=pa', 0.1], ['type=pa', 0.1]]","[['type=se', 0.96], ['type=se', 0.09], ['type=pa', 0.12], ['type=pa', 0.11]]","[['type=se', 0.37], ['type=se', 0.13], ['type=pa', 0.1], ['type=pa', 0.1]]"
PGTVnd6996,"[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]",,,,,,,,,,,,
PGTVnx6996,"[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]","[['type=qp', 1.0]]",,,,,,,,,,,,
PTV5096,"[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.01]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.01]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.01]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.01]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.01]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.01]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.03]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.01]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.01]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.27]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.04]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.02]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.01]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.01]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.02]]","[['type=qp', 1.0], ['type=mxd', 0.01], ['type=mxd', 0.7]]",,,,,,,,,,,,
Pituitary,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]"
Spinal Cord,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.02]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.03]]","[['type=mxd', 0.01]]"
Stem PRV,"[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.02]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.02]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.01]]","[['type=se', 0.05]]","[['type=se', 0.02]]","[['type=se', 0.08]]","[['type=se', 0.14]]","[['type=se', 0.03]]","[['type=se', 0.07]]","[['type=se', 0.18]]","[['type=se', 0.02]]","[['type=se', 0.08]]","[['type=se', 0.14]]"
TMJ-L,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]"
TMJ-R,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.05]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.05]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.02]]","[['type=mxd', 0.01]]","[['type=mxd', 0.02]]","[['type=mxd', 0.13]]","[['type=mxd', 0.01]]","[['type=mxd', 0.02]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.03]]","[['type=mxd', 0.01]]","[['type=mxd', 0.08]]","[['type=mxd', 0.31]]","[['type=mxd', 0.06]]","[['type=mxd', 0.13]]","[['type=mxd', 0.17]]","[['type=mxd', 11.44]]","[['type=mxd', 0.01]]"
Thyroid,"[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.02]]","[['type=se', 0.05]]","[['type=se', 0.01]]","[['type=se', 0.03]]","[['type=se', 0.04]]","[['type=se', 0.03]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.04]]","[['type=se', 0.05]]","[['type=se', 0.01]]","[['type=se', 0.08]]","[['type=se', 0.02]]","[['type=se', 0.04]]","[['type=se', 0.03]]"
Trachea,"[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.02]]","[['type=se', 0.04]]","[['type=se', 0.02]]","[['type=se', 0.01]]","[['type=se', 0.06]]","[['type=se', 0.05]]","[['type=se', 0.01]]","[['type=se', 0.1]]","[['type=se', 0.04]]","[['type=se', 0.05]]","[['type=se', 0.14]]"
patient,"[['type=mxd', 0.02], ['type=mxd', 0.01], ['type=se', 0.01], ['type=se', 0.01], ['type=se', 0.01]]","[['type=mxd', 0.02], ['type=mxd', 0.01], ['type=se', 0.01], ['type=se', 0.01], ['type=se', 0.01]]","[['type=mxd', 0.02], ['type=mxd', 0.01], ['type=se', 0.01], ['type=se', 0.01], ['type=se', 0.01]]","[['type=mxd', 0.02], ['type=mxd', 0.01], ['type=se', 0.02], ['type=se', 0.01], ['type=se', 0.01]]","[['type=mxd', 0.02], ['type=mxd', 0.01], ['type=se', 0.03], ['type=se', 0.01], ['type=se', 0.01]]","[['type=mxd', 0.02], ['type=mxd', 0.01], ['type=se', 0.05], ['type=se', 0.01], ['type=se', 0.01]]","[['type=mxd', 0.06], ['type=mxd', 0.01], ['type=se', 0.03], ['type=se', 0.13], ['type=se', 0.02]]","[['type=mxd', 0.02], ['type=mxd', 0.06], ['type=se', 0.4], ['type=se', 0.04], ['type=se', 0.08]]","[['type=mxd', 0.25], ['type=mxd', 0.01], ['type=se', 0.01], ['type=se', 2.19], ['type=se', 0.55]]","[['type=mxd', 0.22], ['type=mxd', 0.01], ['type=se', 2.33], ['type=se', 0.41], ['type=se', 0.48]]","[['type=mxd', 0.07], ['type=mxd', 0.01], ['type=se', 1.7], ['type=se', 0.21], ['type=se', 0.58]]","[['type=mxd', 0.39], ['type=mxd', 0.01], ['type=se', 0.03], ['type=se', 5.03], ['type=se', 0.05]]","[['type=mxd', 0.1], ['type=mxd', 0.02], ['type=se', 3.5], ['type=se', 1.08], ['type=se', 1.37]]","[['type=mxd', 0.02], ['type=mxd', 0.01], ['type=se', 7.46], ['type=se', 0.75], ['type=se', 3.43]]","[['type=mxd', 0.93], ['type=mxd', 0.02], ['type=se', 11.22], ['type=se', 0.6], ['type=se', 5.05]]","[['type=mxd', 0.06], ['type=mxd', 0.01], ['type=se', 6.83], ['type=se', 0.94], ['type=se', 3.28]]",,,,,,,,,,,,
